date,ingredient_id,ingredient_name,historical_sales,day_of_week,month,is_weekend,is_holiday,lag_7,rolling_avg_7,temperature,promotion_flag,special_event,economic_index
2023-04-22,A001,Basmati Rice,178,6,4,1,1,120,145,30,1,Eid,90
2023-04-22,B001,Ghee,165,6,4,1,1,110,130,30,1,Eid,90
2023-09-30,A002,Chana Dal,94,7,9,1,1,68,80,27,1,Navratri,82
2023-08-15,C001,Sugar,132,2,8,0,1,85,95,29,1,Independence Day,85
2023-01-15,D001,Cardamom,53,7,1,1,1,40,48,19,1,Makar Sankranti,82
2023-03-09,D002,Jaggery,121,4,3,0,0,88,100,29,0,None,88
2023-10-25,B002,Besan,187,3,10,0,0,135,150,26,0,None,95
2023-04-23,C002,Turmeric Powder,45,7,4,1,0,32,40,31,0,None,90
2023-09-29,A001,Basmati Rice,112,6,9,1,0,78,90,28,0,None,82
2023-08-16,B001,Ghee,98,3,8,0,0,70,82,30,0,None,85
2023-01-16,A002,Chana Dal,76,1,1,0,0,55,65,20,0,None,82
2023-03-10,C001,Sugar,110,5,3,0,0,85,95,30,0,None,88
2023-10-26,D001,Cardamom,67,4,10,0,0,50,60,27,0,None,95
2023-04-24,B002,Besan,92,1,4,0,0,70,80,32,0,None,90
2023-09-28,C002,Turmeric Powder,38,5,9,0,0,28,35,29,0,None,82
2023-08-17,A001,Basmati Rice,145,4,8,0,0,110,125,31,0,None,85
2023-01-17,B001,Ghee,120,2,1,0,0,90,105,21,0,None,82
2023-03-11,D002,Jaggery,95,6,3,1,0,70,85,31,0,None,88
2023-10-27,A002,Chana Dal,84,5,10,0,0,65,75,28,0,None,95
2023-04-25,C001,Sugar,132,2,4,0,0,100,115,33,0,None,90
2023-09-27,B002,Besan,110,4,9,0,0,85,95,30,0,None,82
2023-08-18,D001,Cardamom,58,5,8,0,0,45,55,32,0,None,85
2023-01-18,C002,Turmeric Powder,42,3,1,0,0,30,40,22,0,None,82
2023-03-12,A001,Basmati Rice,165,7,3,1,0,130,145,32,0,None,88
2023-10-28,B001,Ghee,178,6,10,1,0,150,165,29,0,None,95
2023-04-26,D002,Jaggery,88,3,4,0,0,70,80,34,0,None,90
2023-09-26,C001,Sugar,120,3,9,0,0,95,105,31,0,None,82
2023-08-19,A002,Chana Dal,79,6,8,1,0,65,75,33,0,None,85
2023-01-19,B002,Besan,105,4,1,0,0,85,95,23,0,None,82
2023-03-13,C002,Turmeric Powder,50,1,3,0,0,38,45,33,0,None,88
2023-10-29,D001,Cardamom,72,7,10,1,0,60,70,30,0,None,95
2023-04-27,A001,Basmati Rice,155,4,4,0,0,125,140,35,0,None,90
2023-09-25,B001,Ghee,132,2,9,0,0,110,120,32,0,None,82
2023-08-20,C001,Sugar,145,7,8,1,0,120,130,34,0,None,85
2023-01-20,D002,Jaggery,92,5,1,0,0,75,85,24,0,None,82
2023-03-14,A002,Chana Dal,87,2,3,0,0,70,80,34,0,None,88
2023-10-30,B002,Besan,165,1,10,0,0,145,155,31,0,None,95
2023-04-28,C002,Turmeric Powder,48,5,4,0,0,40,45,36,0,None,90
2023-09-24,D001,Cardamom,65,1,9,0,0,55,60,33,0,None,82
2023-08-21,A001,Basmati Rice,178,1,8,0,0,155,165,35,0,None,85
2023-01-21,B001,Ghee,138,6,1,1,0,120,130,25,0,None,82
2023-03-15,C001,Sugar,125,3,3,0,0,110,115,35,0,None,88
2023-10-31,D002,Jaggery,102,2,10,0,0,90,95,32,0,None,95
2023-04-29,A002,Chana Dal,95,6,4,1,0,85,90,37,0,None,90
2023-09-23,B002,Besan,120,7,9,1,0,110,115,34,0,None,82
2023-08-22,C002,Turmeric Powder,55,2,8,0,0,48,50,36,0,None,85
2023-01-22,D001,Cardamom,78,7,1,1,0,70,75,26,0,None,82
2023-03-16,A001,Basmati Rice,188,4,3,0,0,175,180,36,0,None,88
2023-11-01,B001,Ghee,165,3,11,0,0,155,160,33,0,None,95
2023-04-30,C001,Sugar,142,7,4,1,0,135,140,38,0,None,90
2023-09-22,D002,Jaggery,110,6,9,1,0,105,110,35,0,None,82
2023-08-23,A002,Chana Dal,102,3,8,0,0,95,100,37,0,None,85
2023-01-23,B002,Besan,135,1,1,0,0,125,130,27,0,None,82
2023-03-17,C002,Turmeric Powder,62,5,3,0,0,58,60,37,0,None,88
2023-11-02,D001,Cardamom,85,4,11,0,0,80,85,34,0,None,95
2023-05-01,A001,Basmati Rice,195,1,5,0,0,185,190,39,0,None,90
2023-09-21,B001,Ghee,155,5,9,0,0,150,155,36,0,None,82
2023-08-24,C001,Sugar,165,4,8,0,0,160,165,38,0,None,85
2023-01-24,D002,Jaggery,118,2,1,0,0,115,120,28,0,None,82
2023-03-18,A002,Chana Dal,112,6,3,1,0,110,115,38,0,None,88
2023-11-03,B002,Besan,178,5,11,0,0,175,180,35,0,None,95
2023-05-02,C002,Turmeric Powder,72,2,5,0,0,70,75,40,0,None,90
2023-09-20,D001,Cardamom,95,4,9,0,0,90,95,37,0,None,82
2023-08-25,A001,Basmati Rice,205,5,8,0,0,200,205,39,0,None,85
2023-01-25,B001,Ghee,172,3,1,0,0,170,175,29,0,None,82
2023-03-19,C001,Sugar,188,7,3,1,0,185,190,39,0,None,88
2023-11-04,D002,Jaggery,132,6,11,1,0,130,135,36,0,None,95
2023-05-03,A002,Chana Dal,125,3,5,0,0,120,125,41,0,None,90
2023-09-19,B002,Besan,165,3,9,0,0,160,165,38,0,None,82
2023-08-26,C002,Turmeric Powder,82,6,8,1,0,80,85,40,0,None,85
2023-01-26,D001,Cardamom,112,4,1,0,0,110,115,30,0,None,82
2023-03-20,A001,Basmati Rice,215,1,3,0,0,210,215,40,0,None,88
2023-11-05,B001,Ghee,195,7,11,1,0,190,195,37,0,None,95
2023-05-04,C001,Sugar,178,4,5,0,0,175,180,42,0,None,90
2023-09-18,D002,Jaggery,145,2,9,0,0,140,145,39,0,None,82
2023-08-27,A002,Chana Dal,138,7,8,1,0,135,140,41,0,None,85
2023-01-27,B002,Besan,188,5,1,0,0,185,190,31,0,None,82
2023-03-21,C002,Turmeric Powder,95,2,3,0,0,90,95,31,1,None,70
